feature,relative_importance_val1,relative_importance_val2,cluster
0,0.001670247815499212,0.0021257750221433127,1
1,0.0009454232917920068,0.0014348981399468555,0
2,0.0022776106574989258,0.0037909654561557125,1
3,0.0016358687867067754,0.001612046058458813,1
4,0.0007477438762354963,0.000992028343666962,0
5,0.0025096691018478725,0.0032949512843224093,1
6,0.0024495058014611082,0.0037023914968997347,1
7,0.0019338203695745595,0.0019486271036315325,1
8,0.0004383326171035668,0.0006554472984940655,0
9,0.0019252256123764501,0.0027812223206377324,1
10,0.001527001862197393,0.0022852081488040745,1
11,0.0024781549921214724,0.003224092116917626,1
12,0.0011058587594900444,0.001275465013286094,0
13,0.0007133648474430596,0.001806908768821789,0
14,0.0018134937688010313,0.002568644818423206,1
15,0.0012462397937258271,0.00076173604960124,0
16,0.0007763930668958601,0.0019309123117801595,0
17,0.001163157140810772,0.0010628875110717448,0
18,0.0013522417991691732,0.0015057573073516384,0
19,0.002326314281621544,0.0030646589902568644,1
20,0.0011431027073485172,0.001558901682905226,0
21,0.0024924795874516543,0.001806908768821789,1
22,0.00042114310270734845,0.001204605845881311,0
23,0.0018536026357255406,0.0014880425155004429,1
24,0.0017590603065463398,0.0012931798051372895,0
25,0.0011201833548202262,0.0019309123117803367,0
26,0.003099842429451368,0.0032772364924712138,1
27,0.0019968485890273597,0.002444641275465013,1
28,0.001527001862197393,0.0019840566873337464,1
29,0.0008909898295373156,0.001806908768821789,0
30,0.0008021773384901875,0.0014526129317980513,0
31,0.0006503366279902592,0.0013108945969884853,0
32,0.002214582438046125,0.0025332152347209923,1
33,0.0013006732559805185,0.0008857395925597874,0
34,0.0025239936971780544,0.002763507528786537,1
35,0.002237501790574416,0.0016651904340124002,1
36,0.00046698180776393066,0.00044286979627971657,0
37,0.0011516974645466266,0.0013817537643932684,0
38,0.0006446067898581864,0.0016474756421612047,0
39,0.001125913192952299,0.001328609388839681,0
40,0.0007935825812920784,0.00044286979627971657,0
41,0.0015642458100558658,0.002550930026572188,1
42,0.0027560521415270016,0.0026926483613817537,1
43,0.000991261996848589,0.0012400354295837024,0
44,0.002466695315857327,0.0034012400354295836,1
45,0.0009196390201976793,0.001328609388839681,0
46,0.0004612519696318579,0.0013994685562444642,0
47,0.0013092680131786276,0.003241806908768822,1
48,0.0005873084085374588,0.0015411868910540302,0
49,0.0012720240653201545,0.0013817537643932684,0
50,0.0007477438762354963,0.0017006200177147918,0
51,0.0020426872940839417,0.0009565987599645705,0
52,0.0011287781120183353,0.0008680248007085917,0
53,0.0013751611516974644,0.0014348981399468555,0
54,0.0012920784987824094,0.0010983170947741364,0
55,0.0008852599914052426,0.0008857395925597874,0
56,0.0022546913049706348,0.003046944198405669,1
57,0.0038361266294227184,0.0037732506643045178,1
58,0.002280475576564962,0.001470327723649247,1
59,0.0021314997851310698,0.0014880425155004429,1
60,0.002647185217017619,0.0020549158547385296,1
61,0.0012433748746597908,0.0010274579273693535,0
62,0.0006761208995845866,0.0011868910540301153,0
63,0.0015986248388483025,0.0007971656333036316,0
64,0.0008193668528864059,0.0021434898139945082,0
65,0.0013465119610371005,0.0008148804251548273,0
66,0.001908036097980232,0.0019486271036313553,1
67,0.0027761065749892563,0.0037555358724533218,1
68,0.0012519696318579,0.001558901682905226,0
69,0.00032373585446211143,0.0010628875110717448,0
70,0.0011058587594900444,0.0016297608503100089,0
71,0.0008222317719524423,0.0010274579273693535,0
72,0.0018220885259991402,0.0006908768821966342,0
73,0.0021314997851310698,0.0013108945969884853,1
74,0.0008165019338203695,0.0005137289636844996,0
75,0.0023750179057441625,0.0019131975199289638,1
76,0.0016673828964331758,0.0015766164747564215,1
77,0.0008967196676693883,0.0010097431355181577,0
78,0.00277324165592322,0.0021434898139945082,1
79,0.0015699756481879386,0.001133746678476528,0
80,0.0024638303967912905,0.0014880425155004429,1
81,0.0013064030941125912,0.0017360496014171833,0
82,0.0007219596046411688,0.0007440212577500443,0
83,0.0012920784987824094,0.0013640389725420726,0
84,0.000693310413980805,0.0014348981399468555,0
85,0.0009310986964618248,0.0012577502214348982,0
86,0.0013293224466408822,0.0009388839681133747,0
87,0.0006617963042544047,0.001204605845881311,0
88,0.0008451511244807334,0.0009565987599645705,0
89,0.0009196390201976793,0.0013640389725420726,0
90,0.0017934393353387767,0.001612046058458813,1
91,0.0009740724824523707,0.0006023029229404783,0
92,0.00152127202406532,0.0018423383525241806,1
93,0.0004383326171035668,0.00035429583702373783,0
94,0.0017991691734708492,0.0022852081488040745,1
95,0.00064174187079215,8.857395925596899e-05,0
96,0.0028964331757627844,0.004517271922054739,1
97,0.0003008165019338204,0.00014171833480955038,0
98,0.00162440911044263,0.001612046058458813,1
99,0.0007391491190373871,0.00035429583702373783,0
100,0.0017561953874803036,0.0018777679362265722,1
101,0.0015470562956596476,0.001682905225863596,1
102,0.0016673828964331758,0.002391496899911249,1
103,0.001908036097980232,0.0021080602302921167,1
104,0.001186076493339063,0.0015943312666076173,0
105,0.00031514109726400226,0.0008503100088573959,0
106,0.0017017619252256123,0.001771479185119575,1
107,0.0009969918349806617,0.0009211691762621788,0
108,-0.0001002721673111988,0.00044286979627971657,0
109,0.001177481736140954,0.0026217891939769706,1
110,0.00179057441627274,0.0013463241806908768,0
111,0.0018450078785274316,0.0021434898139945082,1
112,0.0016301389485747025,0.002674933569530558,1
113,0.0017074917633576848,0.0014526129317980513,0
114,0.0007305543618392781,0.0003897254207261293,0
115,0.0011602922217447355,0.0012223206377325066,0
116,0.0005128205128205127,0.0009211691762621788,0
117,0.0010915341641598625,0.0005668733392380868,0
118,0.00043546769803753043,0.0006554472984940655,0
119,0.001492622833404956,0.0018423383525241806,1
120,0.0011746168170749176,0.0019131975199289638,1
121,0.0006904454949147686,0.0006377325066428698,0
122,0.0007133648474430596,0.0010274579273693535,0
123,0.0006761208995845866,0.0013108945969884853,0
124,0.0004039535883111302,0.001275465013286094,0
125,0.0012233204411975362,0.001966341895482551,1
126,0.0007219596046411688,0.00141718334809566,0
127,0.00267010456954591,0.003029229406554473,1
128,0.0005758487322733133,0.0009565987599645705,0
129,0.0017390058730840853,0.0015766164747564215,1
130,0.0013522417991691732,0.0013108945969884853,0
131,0.002959461395215585,0.0029229406554472986,1
132,0.0009167741011316431,0.0004251550044285208,0
133,0.0016272740295086663,0.0019309123117801595,1
134,0.0025354533734422004,0.001133746678476528,1
135,0.0006646612233204411,0.00030115146147015055,0
136,0.0022088525999140523,0.002745792736935341,1
137,0.0007620684715656783,0.00031886625332134633,0
138,0.0015928950007162296,0.002409211691762622,1
139,0.0005271451081506947,0.0005137289636844996,0
140,0.0012720240653201545,0.001204605845881311,0
141,0.0022346368715083797,0.0024092116917624443,1
142,0.0021601489757914335,0.0021257750221433127,1
143,0.0005529293797450222,0.0009034543844109832,0
144,0.001618679272310557,0.0016651904340124002,1
145,0.002481019911187509,0.002480070859167228,1
146,0.001229050279329609,0.0013463241806908768,0
147,0.0005758487322733133,0.001328609388839681,0
148,0.0007019051711789141,0.0010806023029229406,0
149,0.0001976794155565105,0.00033658104517254205,0
150,0.0005557942988110586,0.0004960141718333038,0
151,0.0010800744878957168,0.00141718334809566,0
152,0.0018621973929236497,0.002037201062887334,1
153,0.0012978083369144821,0.002320637732506466,1
154,0.0011602922217447355,0.0013817537643932684,0
155,0.001111588597622117,0.0009388839681133747,0
156,0.0014525139664804468,0.0009388839681133747,0
157,0.001134507950150408,0.0023560673162088576,1
158,0.0015298667812634291,0.002019486271036138,1
159,0.0009139091820656066,0.0006908768821966342,0
160,0.0017304111158859762,0.002019486271036138,1
161,0.0011001289213579716,0.0013108945969884853,0
162,0.0017791147400085946,0.0021612046058457042,1
163,0.001959604641168887,0.0025155004428696194,1
164,0.0014897579143389197,0.001771479185119575,1
165,0.0007133648474430596,0.0007085916740476528,0
166,0.002715943274602492,0.0021257750221433127,1
167,0.0018163586878670677,0.002037201062887334,1
